,location,total_sqft,bath,price,bhk
56,7th Phase JP Nagar,1420.0,2.0,100.0,3
57,7th Phase JP Nagar,1245.0,2.0,94.0,2
58,7th Phase JP Nagar,1175.0,2.0,82.0,2
59,7th Phase JP Nagar,1400.0,2.0,95.0,3
60,7th Phase JP Nagar,2225.0,3.0,160.0,3
61,7th Phase JP Nagar,1050.0,2.0,71.0,2
62,7th Phase JP Nagar,918.0,2.0,50.49,2
63,7th Phase JP Nagar,1450.0,2.0,100.0,3
64,7th Phase JP Nagar,1420.0,2.0,96.0,3
65,7th Phase JP Nagar,1680.0,3.0,120.0,3
66,7th Phase JP Nagar,980.0,2.0,69.0,2
67,7th Phase JP Nagar,1180.0,2.0,72.0,2
68,7th Phase JP Nagar,1050.0,2.0,57.0,3
69,7th Phase JP Nagar,1270.0,2.0,83.0,2
70,7th Phase JP Nagar,2503.0,4.0,188.0,4
71,7th Phase JP Nagar,1575.0,2.0,110.0,3
72,7th Phase JP Nagar,1850.0,3.0,140.0,3
73,7th Phase JP Nagar,1680.0,3.0,120.0,3
74,7th Phase JP Nagar,1175.0,2.0,82.5,2
75,7th Phase JP Nagar,1215.0,2.0,90.0,2
76,7th Phase JP Nagar,1050.0,2.0,75.0,2
77,7th Phase JP Nagar,1300.0,3.0,89.13,3
78,7th Phase JP Nagar,1130.0,2.0,73.0,2
79,7th Phase JP Nagar,1450.0,3.0,100.0,3
80,7th Phase JP Nagar,1275.0,2.0,87.0,2
81,7th Phase JP Nagar,1650.0,3.0,110.0,3
82,7th Phase JP Nagar,1680.0,3.0,117.0,3
83,7th Phase JP Nagar,1680.0,3.0,125.0,3
84,7th Phase JP Nagar,1000.0,2.0,61.0,2
85,7th Phase JP Nagar,1460.0,2.0,100.0,3
86,7th Phase JP Nagar,1650.0,3.0,110.0,3
87,7th Phase JP Nagar,1000.0,2.0,70.65,2
88,7th Phase JP Nagar,1080.0,2.0,75.0,2
89,7th Phase JP Nagar,1680.0,3.0,125.0,3
90,7th Phase JP Nagar,1460.0,2.0,97.0,3
91,7th Phase JP Nagar,1120.0,2.0,65.0,2
92,7th Phase JP Nagar,1100.0,3.0,60.0,2
93,7th Phase JP Nagar,1790.0,3.0,120.0,3
94,7th Phase JP Nagar,1680.0,3.0,117.0,3
95,7th Phase JP Nagar,1050.0,2.0,77.0,2
96,7th Phase JP Nagar,1050.0,2.0,75.0,2
97,7th Phase JP Nagar,1040.0,2.0,75.0,2
98,7th Phase JP Nagar,1400.0,2.0,95.0,3
99,7th Phase JP Nagar,1800.0,3.0,130.0,3
100,7th Phase JP Nagar,1050.0,2.0,68.0,2
101,7th Phase JP Nagar,1000.0,2.0,60.0,2
102,7th Phase JP Nagar,1680.0,3.0,125.0,3
103,7th Phase JP Nagar,1050.0,2.0,77.47,2
104,7th Phase JP Nagar,1270.0,2.0,80.0,2
105,7th Phase JP Nagar,1680.0,3.0,122.0,3
106,7th Phase JP Nagar,1130.0,2.0,85.0,2
107,7th Phase JP Nagar,1680.0,3.0,112.0,3
108,7th Phase JP Nagar,2095.0,3.0,150.0,3
109,7th Phase JP Nagar,1976.0,3.0,145.0,3
110,7th Phase JP Nagar,1600.0,2.0,110.0,3
111,7th Phase JP Nagar,1765.0,3.0,118.0,3
112,7th Phase JP Nagar,1275.0,2.0,88.0,3
113,7th Phase JP Nagar,1450.0,2.0,102.0,3
114,7th Phase JP Nagar,1575.0,2.0,110.0,3
115,7th Phase JP Nagar,750.0,1.0,47.0,1
116,7th Phase JP Nagar,1000.0,1.0,60.0,1
117,7th Phase JP Nagar,1680.0,2.0,92.0,3
118,7th Phase JP Nagar,1430.0,2.0,102.0,3
119,7th Phase JP Nagar,1420.0,3.0,90.0,3
120,7th Phase JP Nagar,1530.0,2.0,108.0,2
121,8th Phase JP Nagar,1594.5,2.0,54.005,2
122,8th Phase JP Nagar,1240.0,3.0,43.5,3
123,8th Phase JP Nagar,1062.0,2.0,42.47,2
124,8th Phase JP Nagar,1230.0,2.0,43.5,3
125,8th Phase JP Nagar,1455.0,3.0,73.31,3
126,8th Phase JP Nagar,1098.0,2.0,43.91,2
127,8th Phase JP Nagar,1800.0,3.0,80.0,3
128,8th Phase JP Nagar,2700.0,4.0,130.0,4
129,8th Phase JP Nagar,1080.0,2.0,38.0,2
130,8th Phase JP Nagar,1062.0,2.0,42.47,2
131,8th Phase JP Nagar,2100.0,4.0,92.0,4
132,8th Phase JP Nagar,1035.0,2.0,39.33,2
133,8th Phase JP Nagar,909.0,2.0,40.9,2
134,8th Phase JP Nagar,2135.5,3.0,72.02,3
135,8th Phase JP Nagar,1900.0,4.0,90.0,3
136,8th Phase JP Nagar,1089.0,2.0,43.55,2
137,8th Phase JP Nagar,1605.0,2.0,65.0,3
138,8th Phase JP Nagar,2600.0,4.0,115.0,4
139,8th Phase JP Nagar,1368.0,2.0,54.71,3
140,8th Phase JP Nagar,1089.0,2.0,43.55,2
141,8th Phase JP Nagar,1224.0,2.0,48.95,3
142,8th Phase JP Nagar,1513.0,2.0,62.0,2
143,8th Phase JP Nagar,1298.0,2.0,59.0,2
144,8th Phase JP Nagar,1006.0,2.0,44.0,2
145,8th Phase JP Nagar,1245.0,2.0,59.0,2
146,8th Phase JP Nagar,1510.0,2.0,80.0,2
147,8th Phase JP Nagar,3300.0,3.0,165.0,3
148,8th Phase JP Nagar,1730.0,5.0,75.0,5
149,8th Phase JP Nagar,1296.0,2.0,51.83,3
150,8th Phase JP Nagar,1275.0,3.0,45.0,3
151,8th Phase JP Nagar,1046.0,2.0,48.0,2
152,8th Phase JP Nagar,1269.0,2.0,50.75,3
153,8th Phase JP Nagar,1500.0,2.0,55.0,3
154,9th Phase JP Nagar,1005.0,2.0,50.0,2
155,9th Phase JP Nagar,1890.0,2.0,85.0,3
156,9th Phase JP Nagar,1035.0,2.0,45.0,2
157,9th Phase JP Nagar,1164.0,2.0,56.0,2
158,9th Phase JP Nagar,1005.0,2.0,42.0,2
159,9th Phase JP Nagar,1127.0,2.0,50.0,2
160,9th Phase JP Nagar,1005.0,2.0,43.0,2
161,9th Phase JP Nagar,835.0,2.0,37.0,2
162,9th Phase JP Nagar,660.0,2.0,27.0,2
163,9th Phase JP Nagar,1466.0,2.0,71.0,2
164,9th Phase JP Nagar,1890.0,2.0,93.0,3
165,9th Phase JP Nagar,1480.0,2.0,80.0,2
166,9th Phase JP Nagar,1073.0,2.0,52.36,2
167,9th Phase JP Nagar,1719.3,2.0,88.0,3
168,9th Phase JP Nagar,1780.0,3.0,88.0,3
169,9th Phase JP Nagar,1300.0,2.0,58.0,3
170,9th Phase JP Nagar,1571.0,3.0,65.0,3
171,9th Phase JP Nagar,1900.0,4.0,80.0,4
172,9th Phase JP Nagar,890.0,2.0,45.0,2
173,9th Phase JP Nagar,1331.95,2.0,69.0,2
174,AECS Layout,1199.0,2.0,65.0,2
175,AECS Layout,1080.0,2.0,55.0,2
176,AECS Layout,1308.0,2.0,60.0,2
177,AECS Layout,2000.0,3.0,90.0,3
178,Abbigere,985.0,2.0,40.39,2
179,Abbigere,765.0,2.0,30.0,1
180,Abbigere,880.0,2.0,35.0,2
181,Abbigere,795.0,2.0,32.54,2
182,Abbigere,1005.0,2.0,39.59,2
183,Abbigere,1260.0,2.0,45.0,3
184,Abbigere,1020.0,2.0,41.82,2
185,Abbigere,985.0,2.0,40.39,2
186,Abbigere,795.0,2.0,32.54,2
187,Abbigere,1130.0,2.0,46.33,2
188,Abbigere,795.0,1.0,32.6,2
189,Abbigere,985.0,2.0,38.92,2
190,Abbigere,1000.0,2.0,41.0,2
191,Abbigere,995.0,2.0,40.8,2
192,Abbigere,1020.0,2.0,40.8,2
193,Akshaya Nagar,1070.0,2.0,54.0,2
194,Akshaya Nagar,1662.0,3.0,85.1,3
195,Akshaya Nagar,1410.0,2.0,75.0,3
196,Akshaya Nagar,1662.0,3.0,85.0,3
197,Akshaya Nagar,1662.0,3.0,85.5,3
198,Akshaya Nagar,1280.0,2.0,60.0,2
199,Akshaya Nagar,1430.0,2.0,75.0,3
200,Akshaya Nagar,1419.0,2.0,73.0,3
201,Akshaya Nagar,1280.0,2.0,60.0,2
202,Akshaya Nagar,1092.0,2.0,60.0,2
203,Akshaya Nagar,1690.0,3.0,85.0,3
204,Akshaya Nagar,1700.0,3.0,80.0,3
205,Akshaya Nagar,1897.0,4.0,93.0,3
206,Akshaya Nagar,1884.0,3.0,98.0,3
207,Akshaya Nagar,1314.0,2.0,68.8,2
208,Akshaya Nagar,1690.0,3.0,85.0,3
209,Akshaya Nagar,1265.0,2.0,67.0,2
210,Akshaya Nagar,1126.0,2.0,55.0,2
211,Akshaya Nagar,1662.0,3.0,90.0,3
212,Akshaya Nagar,1420.0,2.0,75.0,3
213,Akshaya Nagar,1890.0,4.0,100.0,3
214,Akshaya Nagar,2650.0,3.0,125.0,3
215,Akshaya Nagar,1690.0,3.0,85.0,3
216,Akshaya Nagar,1113.0,2.0,52.0,2
217,Akshaya Nagar,1820.0,4.0,95.0,3
218,Akshaya Nagar,1896.0,3.0,102.0,3
219,Akshaya Nagar,1300.0,2.0,66.0,2
220,Akshaya Nagar,1225.0,2.0,68.0,2
221,Akshaya Nagar,1421.0,2.0,73.0,3
222,Akshaya Nagar,1893.0,4.0,95.0,3
223,Akshaya Nagar,900.0,2.0,45.0,2
224,Ambalipura,1800.0,3.0,110.0,3
225,Ambalipura,1332.0,2.0,79.0,2
226,Ambalipura,3500.0,3.0,198.0,3
227,Ambalipura,1230.0,2.0,66.25,2
228,Ambalipura,1351.0,2.0,77.0,2
229,Ambalipura,2550.0,4.0,149.0,4
230,Ambalipura,1817.0,3.0,102.0,3
231,Ambalipura,1303.0,2.0,80.0,2
232,Ambalipura,770.0,1.0,43.82,1
233,Ambalipura,1060.0,2.0,58.5,2
234,Ambalipura,1650.0,3.0,100.0,3
235,Ambalipura,1198.0,2.0,80.0,2
236,Ambedkar Nagar,1935.0,4.0,130.0,3
237,Ambedkar Nagar,1424.0,2.0,90.0,2
238,Ambedkar Nagar,1862.0,3.0,120.0,3
239,Ambedkar Nagar,1936.0,4.0,126.0,3
240,Ambedkar Nagar,1862.0,3.0,119.0,3
241,Ambedkar Nagar,1424.0,2.0,90.0,2
242,Ambedkar Nagar,1856.0,3.0,120.0,3
243,Ambedkar Nagar,1852.0,3.0,130.0,3
244,Ambedkar Nagar,1850.0,4.0,120.0,3
245,Ambedkar Nagar,1367.0,2.0,86.0,2
246,Ambedkar Nagar,1409.0,2.0,95.0,2
247,Ambedkar Nagar,1950.0,4.0,120.0,3
248,Ambedkar Nagar,1921.0,4.0,129.0,3
249,Ambedkar Nagar,1920.0,4.0,121.0,3
250,Ambedkar Nagar,1935.0,4.0,125.0,3
251,Ambedkar Nagar,1852.0,4.0,122.0,3
252,Ambedkar Nagar,1950.0,4.0,120.0,3
253,Ambedkar Nagar,1852.0,3.0,125.0,3
254,Ambedkar Nagar,1850.0,4.0,121.0,3
255,Ambedkar Nagar,1425.0,2.0,94.0,2
256,Ambedkar Nagar,2395.0,4.0,150.0,3
257,Amruthahalli,900.0,2.0,40.0,2
258,Amruthahalli,1200.0,2.0,55.0,2
259,Amruthahalli,924.0,2.0,45.0,2
260,Amruthahalli,1200.0,2.0,55.0,2
261,Amruthahalli,1350.0,2.0,63.0,3
262,Amruthahalli,1700.0,3.0,77.0,3
263,Amruthahalli,1450.0,2.0,85.0,3
264,Amruthahalli,1200.0,2.0,55.0,2
265,Amruthahalli,1190.0,2.0,50.0,2
266,Amruthahalli,1202.0,2.0,65.0,2
267,Amruthahalli,1340.0,2.0,75.0,2
268,Anandapura,1167.0,2.0,43.76,2
269,Anandapura,1141.0,2.0,42.79,2
270,Anandapura,1576.0,3.0,59.1,3
271,Anandapura,1200.0,2.0,58.0,2
272,Anandapura,1151.0,2.0,43.1,2
273,Anandapura,1141.0,2.0,42.75,2
274,Anandapura,1151.0,2.0,42.9,2
275,Anandapura,1576.0,3.0,58.0,3
276,Anandapura,1151.0,2.0,43.16,2
277,Anandapura,1200.0,2.0,58.0,2
278,Anandapura,1200.0,2.0,50.0,2
279,Anandapura,1141.0,2.0,50.0,2
280,Anandapura,1576.0,3.0,58.7,3
281,Ananth Nagar,500.0,1.0,14.0,1
282,Ananth Nagar,1100.0,2.0,31.5,2
283,Ananth Nagar,500.0,2.0,14.0,1
284,Ananth Nagar,908.0,2.0,26.0,2
285,Ananth Nagar,500.0,1.0,14.0,1
286,Ananth Nagar,1000.0,2.0,29.7,2
287,Ananth Nagar,850.0,2.0,25.99,2
288,Ananth Nagar,902.0,2.0,25.26,2
289,Ananth Nagar,810.0,2.0,25.5,2
290,Ananth Nagar,890.0,2.0,27.0,2
291,Ananth Nagar,1200.0,2.0,36.0,2
292,Ananth Nagar,1319.0,3.0,37.75,3
293,Ananth Nagar,1319.0,3.0,42.0,3
294,Ananth Nagar,902.0,2.0,25.0,2
295,Ananth Nagar,930.0,2.0,25.99,2
296,Ananth Nagar,500.0,1.0,14.0,1
297,Anekal,1200.0,1.0,36.0,2
298,Anekal,656.0,2.0,22.0,2
299,Anekal,620.0,2.0,22.0,2
300,Anekal,530.0,1.0,18.0,1
301,Anekal,1800.0,3.0,68.0,3
302,Anekal,1200.0,1.0,36.0,2
303,Anekal,1035.0,2.0,38.3,2
304,Anekal,888.0,2.0,34.0,2
305,Anekal,1200.0,2.0,36.1,2
306,Anekal,1200.0,1.0,36.0,2
307,Anekal,1200.0,2.0,36.0,4
308,Anekal,766.0,2.0,28.0,2
309,Anekal,620.0,1.0,23.5,2
310,Anekal,1150.0,3.0,45.0,3
311,Anekal,1200.0,1.0,36.0,2
312,Anekal,1200.0,1.0,36.0,2
313,Anekal,456.0,1.0,15.0,1
314,Anekal,1200.0,1.0,36.0,2
315,Anekal,1200.0,1.0,36.0,2
316,Anekal,2400.0,4.0,95.0,3
317,Anekal,1200.0,2.0,36.1,2
318,Anekal,1200.0,2.0,36.1,2
319,Anekal,680.0,1.0,21.0,2
320,Anekal,420.0,1.0,12.5,1
321,Anekal,625.0,1.0,25.0,2
322,Anjanapura,1850.0,4.0,86.0,4
323,Anjanapura,1070.0,2.0,39.0,2
324,Anjanapura,1070.0,2.0,37.0,2
325,Anjanapura,950.0,2.0,40.0,2
326,Anjanapura,1280.0,2.0,45.0,3
327,Anjanapura,710.0,2.0,25.0,2
328,Anjanapura,1347.0,2.0,37.72,3
329,Anjanapura,950.0,2.0,32.0,2
330,Anjanapura,1800.0,4.0,55.0,4
331,Anjanapura,1843.0,3.0,87.54,3
332,Anjanapura,1076.0,2.0,30.13,2
333,Anjanapura,950.0,2.0,30.0,2
334,Ardendale,1750.0,3.0,100.0,3
335,Ardendale,3198.0,4.0,200.0,4
336,Ardendale,1750.0,3.0,100.0,3
337,Ardendale,3200.0,4.0,205.0,4
338,Ardendale,1728.0,3.0,95.0,3
339,Ardendale,1732.46,3.0,92.0,3
340,Ardendale,1224.0,2.0,70.0,2
341,Ardendale,1777.26,3.0,105.0,3
342,Ardendale,1224.0,2.0,67.0,2
343,Ardendale,1723.0,3.0,95.0,3
344,Ardendale,1777.26,3.0,92.0,3
345,Arekere,1740.0,2.0,95.0,3
346,Arekere,1190.0,2.0,55.0,2
347,Arekere,600.0,1.0,28.0,1
348,Arekere,2072.0,3.0,108.0,3
349,Arekere,1100.0,2.0,55.0,2
350,Arekere,900.0,2.0,50.0,2
351,Arekere,2710.0,6.0,142.0,4
352,Arekere,1240.0,2.0,60.0,2
353,Arekere,900.0,2.0,44.5,2
354,Attibele,450.0,1.0,11.0,1
355,Attibele,1600.0,4.0,52.8,4
356,Attibele,656.0,2.0,25.0,2
357,Attibele,400.0,1.0,11.0,1
358,Attibele,400.0,1.0,12.0,1
359,Attibele,400.0,1.0,14.0,1
360,Attibele,500.0,1.0,17.0,1
361,Attibele,395.0,1.0,10.25,1
362,Attibele,1639.0,2.0,40.98,3
363,Attibele,418.0,1.0,12.0,1
364,Attibele,1200.0,2.0,42.0,2
365,Attibele,400.0,1.0,10.0,1
366,Attibele,695.0,1.0,25.0,2
367,Attibele,850.0,1.0,25.0,2
368,Attibele,450.0,1.0,12.5,1
369,Attibele,995.0,1.0,24.88,2
370,Attibele,900.0,1.0,25.0,2
371,Attibele,1174.0,2.0,29.35,2
372,Attibele,782.0,1.0,19.55,1
373,Attibele,1175.0,2.0,29.38,2
374,Attibele,656.0,2.0,25.0,2
375,Attibele,400.0,1.0,11.5,1
376,Attibele,460.0,1.0,13.0,1
377,Attibele,418.0,2.0,11.5,1
378,Attibele,996.0,2.0,24.9,2
379,Attibele,410.0,1.0,10.0,1
380,Attibele,1700.0,3.0,65.0,3
381,Attibele,400.0,1.0,10.25,1
382,Attibele,656.0,2.0,25.0,2
383,Attibele,520.0,1.0,15.0,1
384,BEML Layout,1060.0,2.0,55.0,2
385,BEML Layout,2000.0,3.0,85.0,3
386,BEML Layout,999.0,2.0,45.0,2
387,BEML Layout,2000.0,2.0,85.0,3
388,BEML Layout,1194.0,2.0,65.0,2
389,BEML Layout,1200.0,2.0,67.0,2
390,BEML Layout,2000.0,3.0,85.0,3
391,BEML Layout,2000.0,3.0,85.0,3
392,BEML Layout,1194.0,2.0,65.0,2
393,BTM 2nd Stage,950.0,2.0,52.0,2
394,BTM 2nd Stage,1850.0,3.0,170.0,3
395,BTM 2nd Stage,1200.0,2.0,80.0,2
396,BTM 2nd Stage,1274.0,2.0,70.0,2
397,BTM 2nd Stage,1070.0,2.0,48.0,2
398,BTM 2nd Stage,1280.0,2.0,80.0,2
399,BTM 2nd Stage,1100.0,2.0,70.0,2
400,BTM 2nd Stage,1000.0,2.0,58.0,2
401,BTM 2nd Stage,1265.0,2.0,55.0,2
402,BTM 2nd Stage,2200.0,3.0,220.0,3
403,BTM 2nd Stage,965.0,2.0,56.0,2
404,BTM 2nd Stage,1147.0,2.0,75.0,2
405,BTM 2nd Stage,1750.0,3.0,172.0,3
406,BTM 2nd Stage,1400.0,2.0,90.0,2
407,BTM 2nd Stage,1200.0,2.0,70.0,2
408,BTM 2nd Stage,1100.0,2.0,47.0,2
409,BTM 2nd Stage,930.0,2.0,46.0,2
410,BTM 2nd Stage,1265.0,2.0,55.0,3
411,BTM Layout,1150.0,2.0,63.0,2
412,BTM Layout,3300.0,6.0,165.0,6
413,BTM Layout,1450.0,2.0,81.0,3
414,BTM Layout,1458.0,3.0,79.0,3
415,BTM Layout,935.0,2.0,51.5,2
416,BTM Layout,1020.0,2.0,46.5,2
417,BTM Layout,1300.0,2.0,75.0,3
418,BTM Layout,1540.0,2.0,78.0,3
419,BTM Layout,1196.0,2.0,56.81,2
420,Babusapalaya,1213.0,2.0,41.39,3
421,Babusapalaya,1611.0,2.0,66.0,3
422,Babusapalaya,1167.0,2.0,39.98,3
423,Babusapalaya,1141.0,2.0,46.0,2
424,Babusapalaya,1500.0,2.0,57.0,2
425,Babusapalaya,1141.0,2.0,45.9,2
426,Babusapalaya,1105.0,2.0,40.0,2
427,Babusapalaya,1450.0,2.0,55.99,2
428,Babusapalaya,1100.0,2.0,38.0,2
429,Babusapalaya,1061.0,2.0,38.95,2
430,Badavala Nagar,1494.0,2.0,94.55,3
431,Badavala Nagar,1494.0,2.0,94.55,3
432,Badavala Nagar,1494.0,2.0,94.55,3
433,Balagere,1210.0,2.0,80.9,2
434,Balagere,1210.0,2.0,72.0,2
435,Balagere,1205.0,2.0,78.5,2
436,Balagere,1145.0,2.0,65.0,2
437,Balagere,1007.0,2.0,65.0,2
438,Balagere,1205.0,2.0,70.0,2
439,Balagere,1210.0,2.0,74.0,2
440,Balagere,675.0,1.0,45.0,1
441,Balagere,656.0,1.0,43.0,1
442,Balagere,1012.0,2.0,64.0,2
443,Balagere,1007.0,2.0,62.0,2
444,Balagere,1007.0,2.0,67.0,2
445,Balagere,1007.0,2.0,66.0,2
446,Balagere,1210.0,2.0,69.0,2
447,Balagere,1012.0,2.0,65.0,2
448,Balagere,656.0,1.0,38.77,1
449,Balagere,645.0,1.0,39.0,1
450,Balagere,645.0,1.0,41.0,1
451,Balagere,1205.0,2.0,73.87,2
452,Balagere,1205.0,2.0,79.0,2
453,Banashankari,1470.0,2.0,88.64,3
454,Banashankari,1300.0,2.0,75.0,3
455,Banashankari,1800.0,3.0,115.0,3
456,Banashankari,1125.0,2.0,63.0,2
457,Banashankari,1340.0,2.0,53.6,3
458,Banashankari,1310.0,2.0,80.0,2
459,Banashankari,2600.0,4.0,135.0,3
460,Banashankari,1260.0,2.0,75.0,2
461,Banashankari,1170.0,2.0,46.79,2
462,Banashankari,1350.0,2.0,83.0,3
463,Banashankari,1330.0,2.0,78.0,2
464,Banashankari,1400.0,2.0,78.0,3
465,Banashankari,1020.0,2.0,40.79,2
466,Banashankari,1600.0,2.0,63.98,2
467,Banashankari,1390.0,2.0,86.0,2
468,Banashankari,1460.0,2.0,70.0,2
469,Banashankari,1200.0,2.0,60.0,2
470,Banashankari,1290.0,2.0,80.0,2
471,Banashankari,1186.0,2.0,65.0,2
472,Banashankari,1650.0,3.0,101.0,3
473,Banashankari,1300.0,2.0,55.0,3
474,Banashankari,1181.0,2.0,75.0,2
475,Banashankari,1040.0,2.0,45.0,2
476,Banashankari,1330.0,2.0,77.0,2
477,Banashankari,1200.0,2.0,49.0,2
478,Banashankari,1185.0,2.0,67.0,2
479,Banashankari,1000.0,2.0,50.0,2
480,Banashankari,1650.0,3.0,90.75,3
481,Banashankari,1650.0,3.0,101.0,3
482,Banashankari,1310.0,2.0,80.43,2
483,Banashankari,600.0,1.0,27.0,2
484,Banashankari,1430.0,2.0,87.8,2
485,Banashankari,1020.0,2.0,42.83,2
486,Banashankari,1540.0,3.0,80.0,3
487,Banashankari,1683.0,3.0,115.0,3
488,Banashankari,1800.0,3.0,125.0,3
489,Banashankari,1750.0,2.0,89.0,3
490,Banashankari,1770.0,3.0,108.0,3
491,Banashankari,1800.0,3.0,125.0,3
492,Banashankari,1420.0,3.0,66.0,3
493,Banashankari,1200.0,3.0,74.52,3
494,Banashankari,1100.0,2.0,63.0,2
495,Banashankari,1020.0,2.0,40.79,2
496,Banashankari,1260.0,2.0,75.0,2
497,Banashankari,1340.0,2.0,53.6,3
498,Banashankari,1426.0,3.0,85.0,3
499,Banashankari Stage II,1700.0,2.0,150.0,2
500,Banashankari Stage II,1200.0,2.0,150.0,4
501,Banashankari Stage II,1500.0,2.0,120.0,3
502,Banashankari Stage II,1250.0,2.0,110.0,2
503,Banashankari Stage II,1260.0,2.0,95.0,3
504,Banashankari Stage II,2400.0,2.0,300.0,3
505,Banashankari Stage II,1400.0,2.0,100.0,2
506,Banashankari Stage II,2800.0,3.0,425.0,5
507,Banashankari Stage II,3000.0,3.0,450.0,3
508,Banashankari Stage II,1245.0,2.0,125.0,2
509,Banashankari Stage III,1305.0,2.0,58.7,3
510,Banashankari Stage III,1145.0,2.0,58.4,2
511,Banashankari Stage III,1650.0,3.0,118.0,3
512,Banashankari Stage III,1350.0,2.0,68.0,3
513,Banashankari Stage III,2000.0,4.0,100.0,4
514,Banashankari Stage III,1305.0,2.0,59.0,3
515,Banashankari Stage III,1305.0,2.0,60.0,3
516,Banashankari Stage III,1305.0,2.0,59.0,3
517,Banashankari Stage III,1480.0,3.0,75.48,3
518,Banashankari Stage III,1305.0,2.0,59.0,3
519,Banashankari Stage III,3000.0,6.0,150.0,6
520,Banashankari Stage III,1085.0,2.0,50.0,2
521,Banashankari Stage III,1500.0,2.0,100.0,3
522,Banashankari Stage III,2100.0,3.0,147.0,4
523,Banashankari Stage III,1420.0,2.0,95.0,3
524,Banashankari Stage V,1305.0,2.0,49.0,3
525,Banashankari Stage V,1035.0,2.0,35.77,2
526,Banashankari Stage V,1510.0,3.0,47.57,3
527,Banashankari Stage V,1650.0,3.0,51.98,3
528,Banashankari Stage V,1630.0,3.0,51.35,3
529,Banashankari Stage V,1510.0,3.0,47.57,3
530,Banashankari Stage V,1315.0,2.0,49.0,3
531,Banashankari Stage V,1540.0,3.0,48.51,3
532,Banashankari Stage VI,1757.5,2.0,59.935,2
533,Banashankari Stage VI,4800.0,4.0,190.0,4
534,Banashankari Stage VI,2800.0,4.0,89.0,4
535,Banashankari Stage VI,1160.0,2.0,59.0,2
536,Banashankari Stage VI,1180.0,2.0,59.47,2
537,Banashankari Stage VI,1423.0,2.0,71.73,3
538,Banashankari Stage VI,1392.0,3.0,69.46,3
539,Banashankari Stage VI,2110.5,2.0,70.385,3
